time,best_bid,best_ask
1631435268.245714,180.77000000,180.85000000
1631435268.346486,180.77000000,180.83000000
1631435268.446926,180.77000000,180.81000000
1631435268.5473669,180.77000000,180.81000000
1631435268.6474261,180.77000000,180.81000000
1631435268.7478468,180.77000000,180.81000000
1631435268.847695,180.77000000,180.81000000
1631435268.947886,180.77000000,180.81000000
1631435269.052016,180.77000000,180.81000000
1631435269.1480398,180.77000000,180.81000000
1631435269.2506151,180.77000000,180.81000000
1631435269.352743,180.77000000,180.81000000
1631435269.448511,180.77000000,180.81000000
1631435269.549226,180.77000000,180.79000000
1631435269.648594,180.77000000,180.79000000
1631435269.749069,180.73000000,180.79000000
1631435269.848181,180.69000000,180.79000000
1631435269.9493508,180.69000000,180.79000000
1631435270.051174,180.69000000,180.78000000
1631435270.149697,180.69000000,180.78000000
1631435270.248915,180.69000000,180.78000000
1631435270.349377,180.70000000,180.78000000
1631435270.45067,180.71000000,180.78000000
1631435270.550655,180.71000000,180.78000000
1631435270.650102,180.71000000,180.78000000
1631435270.7789161,180.73000000,180.84000000
1631435270.878928,180.75000000,180.83000000
1631435270.954537,180.75000000,180.83000000
1631435271.060058,180.75000000,180.83000000
1631435271.159213,180.74000000,180.83000000
1631435271.261464,180.74000000,180.83000000
1631435271.359891,180.75000000,180.83000000
1631435271.4597702,180.75000000,180.83000000
1631435271.590014,180.75000000,180.83000000
1631435271.694696,180.75000000,180.83000000
1631435271.795412,180.75000000,180.83000000
1631435271.895581,180.75000000,180.83000000
1631435271.9959161,180.75000000,180.83000000
1631435272.103276,180.75000000,180.83000000
1631435272.2029,180.75000000,180.83000000
1631435272.304374,180.75000000,180.83000000
1631435272.404737,180.75000000,180.83000000
1631435272.503356,180.75000000,180.83000000
1631435272.604595,180.75000000,180.83000000
1631435272.7050161,180.75000000,180.81000000
1631435272.805758,180.75000000,180.80000000
1631435272.90558,180.73000000,180.79000000
1631435273.005494,180.71000000,180.79000000
1631435273.1056068,180.71000000,180.79000000
1631435273.20705,180.71000000,180.79000000
1631435273.3051689,180.71000000,180.79000000
1631435273.405257,180.71000000,180.79000000
1631435273.5055969,180.73000000,180.79000000
1631435273.6066828,180.73000000,180.79000000
1631435273.705943,180.73000000,180.79000000
1631435273.8091788,180.73000000,180.79000000
1631435273.906262,180.73000000,180.79000000
1631435274.005939,180.73000000,180.79000000
1631435274.105603,180.73000000,180.79000000
1631435274.206198,180.73000000,180.79000000
1631435274.3070889,180.73000000,180.79000000
1631435274.407199,180.73000000,180.79000000
1631435274.506508,180.75000000,180.79000000
1631435274.6060429,180.80000000,180.83000000
1631435274.710968,180.80000000,180.85000000
1631435274.806157,180.80000000,180.85000000
1631435274.9070148,180.80000000,180.85000000
1631435275.007211,180.80000000,180.83000000
1631435275.106286,180.80000000,180.82000000
1631435275.2063181,180.80000000,180.81000000
1631435275.307036,180.80000000,180.84000000
1631435275.408111,180.80000000,180.82000000
1631435275.506646,180.80000000,180.83000000
1631435275.60693,180.80000000,180.83000000
1631435275.707498,180.80000000,180.85000000
1631435275.807353,180.80000000,180.82000000
1631435275.906883,180.80000000,180.85000000
1631435276.008627,180.82000000,180.85000000
1631435276.111671,180.82000000,180.85000000
1631435276.207493,180.82000000,180.85000000
1631435276.307494,180.82000000,180.85000000
1631435276.406809,180.80000000,180.85000000
1631435276.5078452,180.80000000,180.83000000
1631435276.6077068,180.80000000,180.83000000
1631435276.710969,180.80000000,180.83000000
1631435276.829074,180.80000000,180.83000000
1631435276.911476,180.80000000,180.83000000
1631435277.010578,180.76000000,180.83000000
1631435277.111596,180.75000000,180.83000000
1631435277.210339,180.76000000,180.83000000
1631435277.310952,180.76000000,180.83000000
1631435277.411414,180.76000000,180.83000000
1631435277.512189,180.76000000,180.83000000
1631435277.61124,180.76000000,180.83000000
1631435277.729057,180.76000000,180.82000000
1631435277.8108559,180.76000000,180.82000000
1631435277.911722,180.76000000,180.82000000
1631435278.010407,180.76000000,180.82000000
1631435278.111464,180.77000000,180.82000000
1631435278.2121868,180.76000000,180.82000000
1631435278.3291242,180.76000000,180.82000000
1631435278.42912,180.76000000,180.82000000
1631435278.529084,180.76000000,180.81000000
1631435278.611824,180.76000000,180.80000000
1631435278.778976,180.76000000,180.80000000
1631435278.879013,180.76000000,180.80000000
1631435278.9791172,180.76000000,180.80000000
1631435279.079134,180.74000000,180.80000000
1631435279.178977,180.75000000,180.80000000
1631435279.261987,180.75000000,180.76000000
1631435279.3791502,180.75000000,180.76000000
1631435279.479085,180.75000000,180.76000000
1631435279.579166,180.73000000,180.76000000
1631435279.679125,180.73000000,180.76000000
1631435279.797766,180.73000000,180.76000000
1631435279.8791091,180.73000000,180.76000000
1631435279.97906,180.73000000,180.81000000
1631435280.079137,180.75000000,180.80000000
1631435280.179144,180.77000000,180.80000000
1631435280.2791948,180.77000000,180.80000000
1631435280.379151,180.77000000,180.80000000
1631435280.4791338,180.77000000,180.81000000
1631435280.5791109,180.77000000,180.81000000
1631435280.679185,180.77000000,180.81000000
1631435280.7790568,180.77000000,180.81000000
1631435280.879151,180.77000000,180.80000000
1631435280.979163,180.77000000,180.80000000
1631435281.079191,180.77000000,180.80000000
1631435281.1792252,180.77000000,180.80000000
1631435281.279132,180.79000000,180.80000000
1631435281.379223,180.79000000,180.80000000
1631435281.479147,180.79000000,180.80000000
1631435281.579218,180.79000000,180.80000000
1631435281.679219,180.79000000,180.80000000
1631435281.779233,180.79000000,180.80000000
1631435281.879274,180.79000000,180.80000000
1631435281.97922,180.78000000,180.80000000
1631435282.079231,180.78000000,180.80000000
1631435282.179116,180.78000000,180.80000000
1631435282.279256,180.78000000,180.80000000
1631435282.379138,180.74000000,180.79000000
1631435282.479102,180.74000000,180.78000000
1631435282.579169,180.69000000,180.78000000
1631435282.679252,180.68000000,180.75000000
1631435282.800917,180.68000000,180.75000000
1631435282.879183,180.68000000,180.75000000
1631435282.9791071,180.68000000,180.75000000
1631435283.079081,180.69000000,180.76000000
1631435283.179113,180.69000000,180.76000000
1631435283.279087,180.68000000,180.76000000
1631435283.379337,180.69000000,180.76000000
1631435283.479087,180.69000000,180.76000000
1631435283.57919,180.71000000,180.78000000
1631435283.679184,180.71000000,180.78000000
1631435283.779105,180.71000000,180.78000000
1631435283.87917,180.71000000,180.78000000
1631435283.9791832,180.71000000,180.78000000
1631435284.079199,180.71000000,180.78000000
1631435284.180802,180.68000000,180.78000000
1631435284.279103,180.68000000,180.78000000
1631435284.3791869,180.68000000,180.76000000
1631435284.479145,180.68000000,180.74000000
1631435284.579173,180.68000000,180.72000000
1631435284.6790779,180.68000000,180.71000000
1631435284.780035,180.68000000,180.70000000
1631435284.8790772,180.68000000,180.69000000
1631435284.9799318,180.68000000,180.69000000
1631435285.0812721,180.68000000,180.69000000
1631435285.179163,180.68000000,180.69000000
1631435285.279171,180.68000000,180.69000000
1631435285.379186,180.68000000,180.69000000
1631435285.4792461,180.68000000,180.69000000
1631435285.579115,180.68000000,180.69000000
1631435285.6790779,180.68000000,180.69000000
1631435285.830513,180.68000000,180.69000000
1631435285.880971,180.68000000,180.69000000
1631435285.979203,180.68000000,180.69000000
1631435286.079118,180.68000000,180.69000000
1631435286.1793349,180.68000000,180.69000000
1631435286.2792408,180.68000000,180.69000000
1631435286.379149,180.68000000,180.69000000
1631435286.4822369,180.68000000,180.69000000
1631435286.579346,180.68000000,180.69000000
1631435286.679147,180.68000000,180.69000000
1631435286.779223,180.68000000,180.69000000
1631435286.879107,180.68000000,180.69000000
1631435286.979255,180.68000000,180.69000000
1631435287.08019,180.68000000,180.69000000
1631435287.180214,180.68000000,180.69000000
1631435287.280412,180.68000000,180.69000000
1631435287.379113,180.68000000,180.69000000
1631435287.487652,180.68000000,180.69000000
1631435287.579214,180.68000000,180.69000000
1631435287.680063,180.68000000,180.69000000
1631435287.779116,180.68000000,180.69000000
1631435287.8801181,180.68000000,180.69000000
1631435287.9794,180.68000000,180.69000000
1631435288.0811882,180.68000000,180.69000000
1631435288.179122,180.68000000,180.69000000
1631435288.279139,180.68000000,180.69000000
1631435288.379976,180.68000000,180.69000000
1631435288.479171,180.68000000,180.69000000
1631435288.580068,180.68000000,180.69000000
1631435288.679126,180.68000000,180.69000000
1631435288.829206,180.68000000,180.69000000
1631435288.8799229,180.68000000,180.69000000
1631435288.979209,180.68000000,180.69000000
1631435289.081999,180.68000000,180.69000000
1631435289.179116,180.68000000,180.69000000
1631435289.279243,180.68000000,180.69000000
1631435289.379256,180.68000000,180.69000000
1631435289.48033,180.68000000,180.69000000
1631435289.5791922,180.68000000,180.69000000
1631435289.679159,180.68000000,180.69000000
1631435289.779299,180.68000000,180.69000000
1631435289.879215,180.68000000,180.69000000
1631435289.979289,180.68000000,180.69000000
1631435290.080598,180.68000000,180.69000000
1631435290.179211,180.68000000,180.69000000
1631435290.279166,180.68000000,180.69000000
1631435290.379327,180.68000000,180.69000000
1631435290.479306,180.68000000,180.69000000
1631435290.57921,180.68000000,180.69000000
1631435290.679421,180.68000000,180.69000000
1631435290.782957,180.68000000,180.69000000
1631435290.8791869,180.68000000,180.69000000
1631435290.980195,180.68000000,180.69000000
1631435291.086294,180.68000000,180.69000000
1631435291.17952,180.68000000,180.69000000
1631435291.2806778,180.68000000,180.69000000
1631435291.379224,180.68000000,180.69000000
1631435291.480648,180.68000000,180.69000000
1631435291.629218,180.68000000,180.69000000
1631435291.729326,180.68000000,180.69000000
1631435291.8294,180.68000000,180.69000000
1631435291.92926,180.68000000,180.69000000
1631435292.029334,180.68000000,180.69000000
1631435292.129188,180.68000000,180.69000000
1631435292.229322,180.68000000,180.69000000
1631435292.33453,180.68000000,180.69000000
1631435292.434689,180.68000000,180.69000000
1631435292.534218,180.68000000,180.69000000
1631435292.635355,180.68000000,180.69000000
1631435292.7402549,180.68000000,180.69000000
1631435292.979337,180.68000000,180.69000000
1631435293.0792372,180.68000000,180.69000000
1631435293.1794062,180.68000000,180.69000000
1631435293.279317,180.68000000,180.69000000
1631435293.379261,180.68000000,180.69000000
1631435293.4792929,180.68000000,180.69000000
1631435293.5792902,180.68000000,180.69000000
1631435293.679374,180.68000000,180.69000000
1631435293.779244,180.68000000,180.69000000
1631435293.8793468,180.68000000,180.69000000
1631435293.979557,180.68000000,180.69000000
1631435294.07938,180.68000000,180.69000000
